Kabupaten,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Kepulauan Selayar,18300,16670,16110,18200,16950,16900,17210,17600,17590,17360
Bulukumba,35600,32420,31250,36700,34190,33400,33250,33100,31250,30490
Bantaeng,18100,16480,15910,18900,17660,17600,17530,17900,17200,16910
Jeneponto,65400,59560,57490,58100,54150,53900,55320,55300,55950,54050
Takalar,30100,27410,26430,29300,27370,27100,27050,27000,26570,25930
Gowa,62100,56560,54600,61000,57030,59500,61520,62800,59340,57990
Sinjai,24500,22310,21510,24300,22630,22000,22510,22300,22480,22270
Maros,46600,42440,40900,43100,40130,40100,39020,38500,35970,34850
Pangkep,59000,53730,51800,56400,52600,53900,52860,53400,50120,47070
Barru,17700,16120,15530,17500,16600,16100,16240,16800,15680,14920
Bone,101100,92080,88840,87700,80460,75000,75090,77100,79570,76250
Soppeng,23300,21220,20450,21300,19780,18900,19120,18800,17000,16450
Wajo,34500,31420,30290,31900,30340,30100,29460,29200,29730,27480
Sidrap,19000,17300,16690,17900,16720,16000,15920,15700,15410,14440
Pinrang,31700,28870,27880,32100,29920,30500,31280,31400,32940,31850
Enrekang,32100,29230,28170,29700,27600,27600,26980,26700,25530,25400
Luwu,51400,46900,45240,52000,48530,48600,50580,49800,47910,46180
Tana Toraja,32400,29600,28550,31300,29090,28600,28420,29200,29650,28870
Luwu Utara,46800,42620,41090,46200,43020,41900,43750,44000,42430,42480
Luwu Timur,22400,20400,19680,22200,20780,19700,21080,21900,21150,20830
Toraja Utara,41100,37430,36080,36800,33880,34400,33020,32900,30680,28640
Makassar,78700,71670,69170,66400,64230,63200,66780,68200,66220,65120
Pare Pare,8500,7740,7430,8600,8070,8400,8020,8100,8010,7620
Palopo,16800,15300,14760,15500,14590,14500,15020,15400,14270,14370
