Wilayah,2014,2015,2019
Kepulauan Selayar,9035,9040,13570.03
Bulukumba,1154.67,1155,1284.63
Bantaeng,395.83,396,395.83
Jeneponto,903.35,903,706.52
Takalar,566.51,567,566.61
Gowa,1883.32,1883,1883.32
Sinjai,819.96,820,798.96
Maros,1619.12,1619,1619.12
Pangkajene dan Kepulauan,1112.29,1112,1132.08
Barru,1174.71,1175,1174.71
Bone,4559,4559,4559
Soppeng,1359.44,1359,1557
Wajo,2506.2,2506,2504.06
Sindereng Rappang,1883.25,1883,1883.23
Pinrang,1961.17,1961,1961.67
Enrekang,1786.01,1786,1784.93
Luwu,3000.25,3000,3343.97
Tana Toraja,2054.3,2054,1990.22
Luwu Utara,7502.68,7503,7502.58
Luwu Timur,6944.88,6945,6944.88
Toraja Utara,1151.47,1151,1215.55
Makassar,175.77,176,199.26
Parepare,99.33,99,99.33
Palopo,247.52,248,252.99
