Wilayah,2015,2016,2017,2018,2019,2020,2021
Kepulauan Selayar,130189,131266,133003,133315,134286,135218,136118
Bulukumba,410450,412681,415713,416773,418627,420347,421959
Bantaeng,183348,184460,185581,186525,187472,188361,189202
Jeneponto,355658,357840,359787,361892,363755,365503,367160
Takalar,286819,289004,292983,293136,295078,296932,298717
Gowa,722724,732587,748200,751981,761491,770864,780138
Sinjai,238102,239514,241208,242127,243323,244443,245501
Maros,339261,342484,346383,348682,351649,354521,357320
Pangkajene dan Kepulauan,323607,326480,329791,331979,334597,337123,339575
Barru,171207,171977,172767,173357,173965,174517,175023
Bone,742786,745864,751026,751323,753694,755818,757741
Soppeng,226115,226867,226466,228153,228686,229143,229539
Wajo,393366,395781,395583,400262,402323,404258,406091
Sindereng Rappang,289731,292126,296125,296684,298842,300914,302918
Pinrang,366850,369490,372230,374460,376784,378995,381114
Enrekang,200055,201839,203320,205254,206881,208450,209974
Luwu,350364,353838,356305,360537,363754,366876,369924
Tana Toraja,228977,230888,231519,234529,236255,237913,239516
Luwu Utara,302706,305462,308001,310744,313264,315699,318064
Luwu Timur,275665,280345,287874,289661,294288,298889,303479
Toraja Utara,225584,227674,228414,231686,233603,235456,237259
Makassar,1449698,1467947,1489011,1503664,1521091,1538207,1555088
Parepare,138764,140232,142097,143075,144446,145783,147090
Palopo,168812,171958,176907,178253,181395,184532,187671
